ORD,DFW,LAX,ATL,DEN,SFO,IAH,PHX,LAS,SEA,BOS,LGA,JFK,MSP,EWR,DTW,MCO,CLT,BWI,PHL,SLC,MIA,SAN,MDW,DCA,FLL,DAL,HOU,TPA,BNA,STL,PDX,OAK,AUS,CLE,SMF,SJC,SNA,MCI,IAD
-3,-1,15,41,-4,-16,115,17,-2,221,25,-4,-14,73,37,2340,130,-18,222,-19,-5,-6,-20,22,80,-1,-17,-13,-17,-14,-16,93,-10,22,5,-5,17,54,-5,88
-20,36,-6,2341,-15,56,-8,-7,-7,57,-8,2,10,-4,48,-15,21,-8,6,-19,-1,18,83,-17,173,31,-19,0,-20,54,-9,116,36,-16,35,110,-17,99,-13,-2
-2,78,5,-12,-5,-10,20,-6,6,23,-2,-4,-4,-11,-4,-18,74,2,20,-5,-15,-7,30,15,539,2,-13,-14,8,-3,13,-19,-17,-12,-8,65,47,33,-18,144
26,9,187,-6,2,-13,-4,14,-20,-13,2340,55,-9,18,-12,-19,-12,-6,100,46,106,-17,22,5,195,23,-18,60,37,-18,26,62,-20,198,18,26,17,50,-19,93
-19,-15,-14,-17,-3,5,-15,-18,-9,12,-18,-10,25,47,247,-15,-17,134,-10,42,69,-20,-16,-3,60,-1,-20,13,-9,-15,-20,58,16,-16,-17,-5,19,20,2342,113
-18,-1,289,-7,13,-13,-10,6,-13,-13,-19,75,-19,167,-12,-8,-18,2341,11,57,52,15,13,52,158,9,-4,-10,-9,-6,-16,-19,13,-15,-14,97,-12,78,35,418
11,9,-13,-13,-2,-14,-17,16,-9,38,12,73,-6,-20,1,70,8,-17,8,5,-16,-10,-11,2,95,-12,-5,-11,-10,-18,79,-19,11,53,-14,71,10,-18,171,86
-2,-13,0,7,-4,-3,-19,-19,47,7,182,42,-7,44,-20,-8,2341,2341,7,-17,2,20,-15,-13,322,-17,28,51,-18,103,-8,-16,-16,2349,-13,55,-20,-4,-13,86
10,95,-18,-20,21,105,-10,-10,148,-12,14,33,-7,21,-3,-1,103,125,85,44,16,1,171,-13,99,8,-15,18,101,-5,-4,-5,-13,8,-17,-3,90,21,-7,25
1,5,-18,-16,115,60,-11,41,42,4,17,20,219,22,3,-9,-13,-14,28,-16,2342,172,-2,-12,17,8,-16,-14,-17,-17,8,21,-1,-7,-3,-15,-10,9,-19,0
24,-3,136,18,-5,-2,-13,178,30,-9,-6,15,-7,57,162,-14,-10,-7,44,-13,61,38,71,-15,-18,91,-16,-12,-9,2,242,40,-14,169,-16,-20,68,8,2342,-12
-5,-6,11,-8,8,1,-19,18,33,34,62,60,281,5,-6,3,24,-3,77,31,12,-5,99,8,-19,-19,3,-1,-17,4,-7,-19,-5,-19,-7,5,-18,-17,241,0
-15,-5,2,-19,58,-15,-12,-11,31,-6,-20,-13,-20,-20,-20,-13,-20,16,-11,-13,-18,51,-9,53,-3,-7,-14,4,-3,-17,-18,-18,-5,125,10,20,-20,-18,-10,-16
16,-11,-15,51,-17,-19,4,-16,-10,-6,12,-7,-15,-10,-18,26,-15,27,82,-17,12,59,-10,143,-18,10,1,-13,-7,-17,-16,0,39,-7,-13,-7,25,-9,-10,-7
24,-18,-1,-9,-20,54,-18,-18,-16,42,91,11,-3,15,-14,5,55,105,272,-11,-8,58,20,13,12,9,-19,-8,193,110,-20,-16,-20,-19,-19,44,-9,2,-19,160
-5,103,-4,24,-14,96,163,1,-12,-6,71,35,-17,26,-8,6,-18,112,52,0,-11,28,15,117,3,-16,7,-17,25,-5,-4,103,-15,-6,-12,153,23,-12,-15,35
-16,-16,1,1,-18,-2,-12,-7,59,-15,23,9,-1,135,-1,49,10,-18,147,-16,5,210,-1,2,93,2340,14,11,-20,11,-2,-7,-20,1,-17,-2,-10,-11,-13,7
12,-11,-3,28,-8,142,-11,-19,-16,-17,12,34,1,-2,3,-1,-18,45,207,-4,12,-19,103,35,-6,5,-2,68,-12,33,-7,-3,-12,38,-4,146,-12,-12,439,-20
-2,-4,45,-14,-20,-14,7,-20,103,194,180,59,2,47,-18,26,10,-17,76,-11,2,59,24,65,-20,-20,17,-8,-20,-13,-13,-8,-13,36,-20,62,-18,-9,-8,153
-17,-13,-7,-11,37,210,41,383,26,-3,131,1,66,6,2349,13,-19,-8,23,-13,50,-6,76,0,19,-9,-16,54,172,-6,51,-1,94,13,9,147,-11,71,20,-3
-20,-15,4,-19,21,281,0,97,26,-13,-18,-2,-17,-19,15,27,120,-11,70,-18,5,0,30,-10,3,2351,41,-8,29,-4,-2,-13,-9,23,-14,-14,106,-18,-12,37
0,-16,-12,349,-10,-4,-4,373,-15,41,71,272,12,12,5,34,-2,98,84,14,-11,-13,9,19,19,-10,59,-18,-20,19,24,-9,-2,-13,-9,4,10,-8,-9,-17
2354,0,-18,27,-16,-9,-13,62,21,70,5,9,-20,-19,-14,-16,9,-20,11,-8,-8,35,1,67,3,107,-19,6,122,-20,12,-4,-14,-9,-16,-11,-8,-19,-1,-19
-12,15,7,61,-16,-13,-13,43,-14,-17,-15,-20,2342,5,-15,15,49,-9,141,1,2344,-16,14,15,70,42,-15,-20,-1,11,7,-13,-20,16,-1,94,2349,29,-16,17
-16,58,-17,-16,201,-19,44,42,-20,-14,46,1,-12,-18,-20,43,307,-5,86,-12,-11,-6,-3,47,-17,225,10,-2,33,-6,-15,81,2,-8,-14,88,89,4,33,58
126,-1,169,-18,-16,12,-20,58,-14,-7,2,-12,2351,-20,-7,3,-15,31,11,128,20,-18,21,80,14,38,-12,12,7,10,3,1,17,91,-10,121,87,-1,353,2346
-20,-18,-2,-13,-2,56,-5,98,36,49,-5,1,-4,17,3,90,-16,81,24,2341,-13,-8,-4,-12,-3,183,13,21,-19,-11,1,4,-10,-15,-20,82,71,-16,-11,9
